Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MonadBayes_LR50_IPMCMC4-5-1,8.156351860859695e-2,6.875646220650954e-2,9.101377388384874e-2,1.7773836368622602e-2,1.1947059799368887e-2,2.250275399232483e-2
MonadBayes_LR50_IPMCMC4-5-2,0.11312240671415397,0.1008084602014987,0.12500526414847313,1.753012065346424e-2,1.3430528597389128e-2,2.0811625373014637e-2
MonadBayes_LR50_IPMCMC4-5-3,0.1574689923745536,0.13886404532522703,0.1807712734476494,2.93394411963263e-2,1.9751268727992686e-2,3.655299647987602e-2
MonadBayes_LR50_IPMCMC4-5-4,0.223742405569436,0.18909144711216122,0.2526051553871441,4.0238239838323454e-2,2.12573417566195e-2,5.8388377047978175e-2
MonadBayes_LR50_IPMCMC4-5-5,0.2769764934831766,0.252861735484301,0.29248148898326864,2.401476230567756e-2,1.0317196925745726e-2,3.3253385953340195e-2
MonadBayes_LR50_IPMCMC4-5-6,0.21160086399059716,0.2019882768590911,0.22881693978944218,1.6721225006412686e-2,1.8284491225142446e-3,2.0935067586787454e-2
MonadBayes_LR50_IPMCMC4-5-7,0.3337530050640651,0.29824894298266663,0.3962739097351072,5.431073433806115e-2,0.0,5.6594740941825664e-2
MonadBayes_LR50_IPMCMC4-5-8,0.24682078364971205,0.23325480181636093,0.26677313973215183,1.889491148415605e-2,2.397690440909468e-3,2.423784153078249e-2
MonadBayes_LR50_IPMCMC4-5-9,0.3703698449222122,0.296171841971968,0.42648158942474507,8.592070360623524e-2,0.0,9.718839237971047e-2
MonadBayes_LR50_IPMCMC4-5-10,0.39821018947361314,0.33755675747853037,0.4513639143034418,8.630631552586678e-2,0.0,9.206495201679855e-2
MonadBayes_HMM20_IPMCMC4-5-1,3.511049114083807e-2,3.2512176332434764e-2,4.125743768843033e-2,7.4683771521786265e-3,4.04348862084508e-3,1.208366196987413e-2
MonadBayes_HMM20_IPMCMC4-5-2,5.962009933089842e-2,5.3274355753582296e-2,6.767626567008365e-2,1.3079046784213094e-2,1.0194253550233946e-2,1.7330955430434104e-2
MonadBayes_HMM20_IPMCMC4-5-3,9.401027347552404e-2,8.237829202962037e-2,0.11258664607637997,2.304009416022333e-2,1.2291769110144991e-2,3.6061567983339225e-2
MonadBayes_HMM20_IPMCMC4-5-4,0.13407867114366742,0.10977085780251475,0.14489710765956756,2.3135946541908942e-2,6.952653389149447e-3,3.4223149294826435e-2
MonadBayes_HMM20_IPMCMC4-5-5,0.11875236490379594,0.1006941437718161,0.1489865568382047,3.3828696066296834e-2,1.4489947801333242e-2,5.0398951465747695e-2
MonadBayes_HMM20_IPMCMC4-5-6,0.170986742831997,0.139756169939468,0.19752268993125377,3.9152132881275614e-2,2.7526554589595336e-2,5.256985482591646e-2
MonadBayes_HMM20_IPMCMC4-5-7,0.1901818840595496,0.1458749827372539,0.23448878538184528,5.798104032610193e-2,4.54542510551653e-2,6.569066698913117e-2
MonadBayes_HMM20_IPMCMC4-5-8,0.15528962546889963,0.14145329372288712,0.18563856935543793,2.442972946520078e-2,6.0523896969548715e-3,3.3956524549468375e-2
MonadBayes_HMM20_IPMCMC4-5-9,0.2739522187296729,0.24914020565975817,0.2939354469203947,2.66498136300841e-2,2.1733854041909677e-2,3.163288461915854e-2
MonadBayes_HMM20_IPMCMC4-5-10,0.2777839952487219,0.23946206060700945,0.3113924882706445,3.960883098003779e-2,3.2133188403306395e-2,4.5587208514944404e-2
MonadBayes_LDA10_IPMCMC4-5-1,0.1058766275849278,9.739302136560238e-2,0.11726186292950876,1.4384853020120582e-2,1.0098059521007709e-2,1.7804737665097128e-2
MonadBayes_LDA10_IPMCMC4-5-2,0.20844542470584373,0.18886625152887138,0.2316132261263674,2.6941585357376133e-2,1.663532599031824e-2,3.664896620888032e-2
MonadBayes_LDA10_IPMCMC4-5-3,0.16850983126392335,0.1514287320592524,0.19555075977084455,2.8917408770754428e-2,1.8236623995861904e-2,4.0585469862213557e-2
MonadBayes_LDA10_IPMCMC4-5-4,0.212101624628008,0.1726316985787074,0.3224059039343699,8.256341284144951e-2,3.0442617310604283e-3,0.1046936120592478
MonadBayes_LDA10_IPMCMC4-5-5,0.30087106220183424,0.27577275698605025,0.3167797270899633,2.395872697740975e-2,0.0,2.755461586682663e-2
MonadBayes_LDA10_IPMCMC4-5-6,0.35510065514913003,0.2998255619841142,0.3923178413145674,5.583392690963392e-2,0.0,6.446205735328703e-2
MonadBayes_LDA10_IPMCMC4-5-7,0.3205246827128966,0.29278251168838443,0.3660523850600004,4.3231500505417866e-2,8.300632554441587e-5,5.2612365574143276e-2
MonadBayes_LDA10_IPMCMC4-5-8,0.3469070850642408,0.32271259973823124,0.36258286681187335,2.3543222336051366e-2,0.0,2.7151250435260486e-2
MonadBayes_LDA10_IPMCMC4-5-9,0.3934291829163154,0.3781482474623907,0.40645345886373746,2.0880583321652477e-2,0.0,2.2558707672732412e-2
MonadBayes_LDA10_IPMCMC4-5-10,0.5891808230341461,0.4929326449873837,0.6437251289183631,8.554973111502104e-2,0.0,9.447350905504194e-2
Anglican_LR50_IPMCMC4-5-1,6.601400991630238e-2,5.992745315645403e-2,7.527315282272e-2,1.3204171770537199e-2,7.163122684525874e-3,1.9851972451104705e-2
Anglican_LR50_IPMCMC4-5-2,6.886675417265932e-2,5.953887001113674e-2,7.703151104013231e-2,1.5465851344011586e-2,1.1981231921167085e-2,1.9835624576701964e-2
Anglican_LR50_IPMCMC4-5-3,7.168607041226513e-2,6.546624338326497e-2,7.592408896602669e-2,8.487829047787547e-3,5.7028888830395665e-3,1.1770660966555048e-2
Anglican_LR50_IPMCMC4-5-4,6.702268941401092e-2,5.910709342880584e-2,7.42478210257347e-2,1.2777265846263935e-2,1.0508505184153324e-2,1.4378321738468399e-2
Anglican_LR50_IPMCMC4-5-5,6.62171530384985e-2,5.869997262067713e-2,7.236356168260269e-2,1.130971787549602e-2,9.110176366636668e-3,1.371432135794509e-2
Anglican_LR50_IPMCMC4-5-6,7.469187890832563e-2,7.060423829094482e-2,7.69107771182779e-2,4.948434244812306e-3,2.75801928829045e-3,7.599167756779044e-3
Anglican_LR50_IPMCMC4-5-7,7.171956211370045e-2,6.71151402359638e-2,7.581116736546102e-2,7.698817910951418e-3,6.348800340381435e-3,8.807164899357239e-3
Anglican_LR50_IPMCMC4-5-8,7.573133159240766e-2,7.24552164673121e-2,7.803515497971832e-2,4.902831058128133e-3,3.352996426414566e-3,6.128570853376533e-3
Anglican_LR50_IPMCMC4-5-9,7.388294078621833e-2,6.872518769868823e-2,7.64988388290686e-2,6.061770022621501e-3,3.6892138026240256e-3,8.961994803848839e-3
Anglican_LR50_IPMCMC4-5-10,6.606991302060908e-2,5.715008173332525e-2,7.30472801351672e-2,1.299848266745876e-2,1.0027065961213286e-2,1.5894524772424812e-2
Anglican_HMM20_IPMCMC4-5-1,6.284619426206647e-2,5.5835802771768014e-2,7.079662032517815e-2,1.2924335687747054e-2,9.530659521674593e-3,1.6645963724231525e-2
Anglican_HMM20_IPMCMC4-5-2,7.059354319231287e-2,6.328778792750205e-2,7.571156521714958e-2,1.0023264131082656e-2,5.00121828914585e-3,1.3142988244830199e-2
Anglican_HMM20_IPMCMC4-5-3,7.63499817480028e-2,7.302974493188259e-2,7.772909118867018e-2,3.33464962240718e-3,1.0269772754000022e-3,5.466535572403486e-3
Anglican_HMM20_IPMCMC4-5-4,6.622879901126248e-2,5.8740235402442234e-2,7.18463665208293e-2,1.0860306908671173e-2,8.208676629521173e-3,1.4913298506893151e-2
Anglican_HMM20_IPMCMC4-5-5,6.974979144137568e-2,6.372593911756544e-2,7.849383951865681e-2,1.2457314691516553e-2,7.957818066348047e-3,1.9508369139736036e-2
Anglican_HMM20_IPMCMC4-5-6,7.48690290102057e-2,6.2317248826585035e-2,0.10649479269748632,3.207391464809705e-2,1.0197040073749296e-2,5.4102823487460074e-2
Anglican_HMM20_IPMCMC4-5-7,7.116462925385687e-2,6.44739958825629e-2,7.506222533853041e-2,8.055222923217004e-3,4.591797804425004e-3,1.1888112750857882e-2
Anglican_HMM20_IPMCMC4-5-8,7.061029099157702e-2,6.350341932511773e-2,7.583352748829347e-2,1.0999760323270378e-2,6.878309268214579e-3,1.2711541593402053e-2
Anglican_HMM20_IPMCMC4-5-9,7.37436990372945e-2,6.487717224509842e-2,7.734814668910243e-2,9.227560421182569e-3,2.5729925656481903e-3,1.5064288216416144e-2
Anglican_HMM20_IPMCMC4-5-10,7.27663160567745e-2,6.501530811178158e-2,8.389819773443101e-2,1.5850253856385704e-2,1.0728760447790562e-2,2.2882153138377142e-2
Anglican_LDA10_IPMCMC4-5-1,6.880388581202765e-2,6.179385496725023e-2,7.47271390356389e-2,1.1244805954918165e-2,8.656950891959071e-3,1.4253922668550141e-2
Anglican_LDA10_IPMCMC4-5-2,6.681398981313716e-2,5.850854055051752e-2,7.296658869256736e-2,1.2553026953362191e-2,6.582186575994836e-3,1.6648690629082707e-2
Anglican_LDA10_IPMCMC4-5-3,7.448169167941276e-2,6.67215177852906e-2,7.750501226783173e-2,8.048020256606957e-3,2.4804841484829406e-3,1.3304036577212916e-2
Anglican_LDA10_IPMCMC4-5-4,6.919302622478321e-2,6.23118975387005e-2,7.491118986171387e-2,1.0688047465862107e-2,7.910142341832115e-3,1.2550032161932682e-2
Anglican_LDA10_IPMCMC4-5-5,6.929189807307976e-2,6.251027646995054e-2,8.116778699840796e-2,1.5436935605742377e-2,8.984262033548643e-3,2.4564992236868508e-2
Anglican_LDA10_IPMCMC4-5-6,7.968675801805829e-2,7.250398476069005e-2,9.23537686673192e-2,1.5435912722689446e-2,6.924040919705492e-3,2.3476944669041565e-2
Anglican_LDA10_IPMCMC4-5-7,6.93270284655916e-2,5.995015108825881e-2,8.662962562458784e-2,2.0716430890716366e-2,8.225499112006361e-3,3.411034906766736e-2
Anglican_LDA10_IPMCMC4-5-8,7.717376917781874e-2,6.584563285117942e-2,9.461416916143311e-2,2.4962605938688695e-2,1.640155977536807e-2,3.5681943428868754e-2
Anglican_LDA10_IPMCMC4-5-9,7.411032556833695e-2,6.944367302468518e-2,7.811600425871126e-2,7.082364639889479e-3,5.324111976466061e-3,9.185858450886325e-3
Anglican_LDA10_IPMCMC4-5-10,7.12125316793927e-2,6.198968564731326e-2,8.064412122260198e-2,1.540035307478897e-2,1.1137534949324415e-2,2.1797977556646937e-2
